timestamp,Active_Power,Global_Horizontal_Radiation,Diffuse_Horizontal_Radiation
2018/2/3 12:00,2.709533374,541.6916707,332.1106161
2018/2/3 12:15,4.953066508,989.8000082,275.0533244
2018/2/3 12:30,4.505089124,964.6697998,294.5983785
2018/2/3 12:45,3.353666544,700.9147949,339.5433756
2018/2/3 13:00,4.375755628,900.0538127,220.3806203
2018/2/3 13:15,4.894244512,1073.400635,116.0346171
2018/2/3 13:30,4.822933197,1077.521403,113.7298483
2018/2/3 13:45,4.745310942,1064.512166,124.7173131
2018/2/3 14:00,4.773555597,1068.506551,146.7106882
2018/2/3 14:15,4.779288769,1074.956868,185.171346
2018/2/3 14:30,4.515799999,1005.824727,177.4563344
2018/2/3 14:45,4.303355535,959.2888794,122.748848
2018/2/3 15:00,4.177110831,916.975769,120.2551193
2018/2/3 15:15,3.594244639,814.3222453,147.7031148
2018/2/3 15:30,3.608377933,784.6259969,128.2162984
2018/2/3 15:45,3.093422175,612.148173,172.8151754
2018/2/3 16:00,2.952822367,595.0889689,210.8810425
2018/2/3 16:15,2.918266773,622.3608704,214.9599254
2018/2/3 16:30,2.94599994,602.9125977,156.5276082
2018/2/3 16:45,2.54204456,596.3762207,152.8535817
2018/2/3 17:00,1.216244499,271.5914815,174.9631551
2018/2/3 17:15,1.659600039,385.9457754,143.5511373
2018/2/3 17:30,1.607844512,369.2353618,84.12560527
2018/2/3 17:45,1.201955517,305.3462626,68.92642466
2018/2/3 18:00,0.834822238,238.8117218,56.94474793
2018/2/3 18:15,0.505600006,180.7328084,50.02427292
2018/2/3 18:30,0.259644454,121.9233042,42.96504847
2018/2/3 18:45,0.11671111,41.33640162,34.74059677
2018/2/3 19:00,0.056977774,24.04089101,21.29864756
2018/2/3 19:15,0.005511111,11.47517268,9.984788577
2018/2/3 19:30,0,4.399907192,2.979097366
2018/2/3 19:45,0,2.752502759,1.420332432
2018/2/3 20:00,0,2.298874457,0.97079738
2018/2/3 20:15,0,2.536005338,1.119172871
2018/2/3 20:30,0,2.397910833,1.028130432
2018/2/3 20:45,0,2.38996625,1.058118502
2018/2/3 21:00,0,2.476297935,1.098352194
2018/2/3 21:15,0,2.749597072,1.4751815
2018/2/3 21:30,0,2.630248388,1.232918024
2018/2/3 21:45,0,2.725874662,1.351742943
2018/2/3 22:00,0,1.940056642,0.663132827
2018/2/3 22:15,0,2.040287335,0.732851823
2018/2/3 22:30,0,2.667949518,1.281083862
2018/2/3 22:45,0,2.504317443,1.155774017
2018/2/3 23:00,0,1.594645977,0.662556847
2018/2/3 23:15,0,1.569194953,0.62818718
2018/2/3 23:30,0,1.860726555,0.666949908
